id,text,answer
1,Что делать для защиты от отравляющих веществ при аварии?\n1) открыть окна и двери\n2) использование индивидуальных средств защиты и убежищ с изоляцией\n3) спрятаться на остановке\n4) ничего не делать,2
2,Что должно входить в состав аварийной аптечки?\n1) стерильные бинты; книги; рюкзак\n2) бинт; топор; сковорода\n3) антибиотики; салфетки; гвозди; молоток\n4) индивидуальные перевязочные пакеты,4
3,При оказании первой медицинской помощи нужно:\n1) унести пострадавшего\n2) обработать травмированные участки тела\n3) увезти пострадавшего в больницу\n4) не допустить травматический шок,2
4,Вести здоровый образ жизни помогают:\n1) закаливание\n2) физические упражнения\n3) правильное питание\n4) все варианты верны,4
5,Чем можно отравиться в лесу во время похода?\n1) ядовитыми грибами и ягодами\n2) одуванчиком\n3) луком медвежьим\n4) цикорием,1
6,Как помочь пострадавшему при утоплении?\n1) удалить воду из лёгких и желудка и сделать искусственное дыхание\n2) уложить в тени\n3) убегать от пострадавшего\n4) дать легкую пощёчину,2
7,Назови самый удобный и надежный способ остановки кровотечения из конечности в условиях автономного существования:\n1) наложение шины\n2) наложения жгута\n3) наложение повязки\n4) наложение бактерицидного лейкопластыря выше раны,3
8,Что мешает вести здоровый образ жизни?\n1) употребление алкоголя\n2) курение\n3) употребление токсических веществ\n4) все ответы верны,4
9,Единый номер вызова экстренной службы\n1) 112\n2) 102\n3) 101\n4) 103,1
10,Назови признаки отравления\n1) сильная рвота\n2) головная боль\n3) сильная боль в области живота\n4) возможная потеря сознания,1